distance_km,h_whole_km,h_lower_km,f_lower,v_lc_km_s,v_lc_sigma_km_s,n_samples,n_stations,thick_crust,v_bulk_upper_km_s,v_bulk_lower_km_s
0.0,30.05823369214293,21.040763584500056,0.6999999999999998,7.013690762857394,0.007319099042419532,24,3,True,7.013690762857394,6.863690762857393
10.0,30.16073235705167,21.11251264993617,0.7,7.0111384622972155,0.005606715018082318,40,5,True,7.0111384622972155,6.861138462297215
20.0,29.804503122848224,20.86315218599376,0.7,7.004673794981878,0.005466259528106841,40,5,True,7.004673794981878,6.854673794981878
30.0,29.43244741699977,20.602713191899834,0.7,6.994974293789984,0.0065154828504585035,40,5,True,6.994974293789984,6.844974293789984
40.0,29.222835335802966,20.455984735062074,0.7,6.98415313400795,0.005516164660631649,40,5,True,6.98415313400795,6.834153134007949
50.0,29.262393915473183,20.483675740831227,0.7,6.978579673018253,0.005557166457952274,40,5,True,6.978579673018253,6.828579673018253
60.0,25.21008105076279,17.647056735533955,0.7,6.927632675575977,0.03179430063484259,40,5,True,6.927632675575977,6.777632675575977
70.0,20.308205003675166,14.215743502572616,0.7,6.878947095486342,0.02268274040653027,40,5,True,6.878947095486342,6.728947095486341
80.0,16.694187188028238,11.685931031619766,0.7,6.869437694195933,0.010157184160252072,40,5,True,6.869437694195933,6.719437694195933
90.0,14.674733755362729,10.27231362875391,0.7,6.88516329173582,0.009762309934388104,40,5,False,6.88516329173582,nan
100.0,13.96120700188151,9.772844901317058,0.6999999999999998,6.890225761012495,0.01127578579879455,24,3,False,6.890225761012495,nan
