pressure,temperature,f,cpx_mass_frac
1.0,1270,0.020486767,0.144106523
1.0,1280,0.02703962,0.139800137
1.0,1290,0.035887815,0.13392624
1.0,1300,0.048425141,0.125428224
1.0,1310,0.067129766,0.112394778
1.0,1320,0.096684935,0.091154499
1.0,1330,0.121861145,0.071618044
1.0,1340,0.143641341,0.053343706
1.0,1350,0.166008961,0.033439175
1.0,1360,0.18892842,0.011713985
1.0,1370,0.206679798,0.0
1.0,1380,0.219537805,0.0
1.0,1390,0.233721248,0.0
1.0,1400,0.249489993,0.0
1.0,1410,0.267181803,0.0
1.0,1420,0.287242344,0.0
1.0,1430,0.310269144,0.0
1.0,1440,0.337078037,0.0
1.0,1450,0.359984511,0.0
1.0,1460,0.374024662,0.0
1.0,1470,0.389699977,0.0
1.0,1480,0.407280132,0.0
1.0,1490,0.427097271,0.0
1.0,1500,0.449565953,0.0
1.0,1510,0.47521155,0.0
1.0,1520,0.504711618,0.0
1.0,1530,0.538957763,0.0
1.0,1540,0.579150941,0.0
1.0,1550,0.626953388,0.0
1.0,1560,0.68474076,0.0
1.0,1570,0.756041253,0.0
1.0,1580,0.846346734,0.0
1.0,1590,0.964725665,0.0
1.0,1600,1.0,0.0
1.0,1610,1.0,0.0
1.0,1620,1.0,0.0
1.0,1630,1.0,0.0
1.0,1640,1.0,0.0
1.0,1650,1.0,0.0
1.0,1660,1.0,0.0
1.0,1670,1.0,0.0
1.0,1680,1.0,0.0
1.0,1690,1.0,0.0
1.0,1700,1.0,0.0
1.0,1710,1.0,0.0
1.0,1720,1.0,0.0
1.0,1730,1.0,0.0
1.0,1740,1.0,0.0
1.0,1750,1.0,0.0
1.0,1760,1.0,0.0
1.0,1770,1.0,0.0
1.0,1780,1.0,0.0
1.0,1790,1.0,0.0
1.0,1800,1.0,0.0
1.0,1810,1.0,0.0
1.0,1820,1.0,0.0
1.0,1830,1.0,0.0
1.0,1840,1.0,0.0
1.0,1850,1.0,0.0
1.0,1860,1.0,0.0
1.0,1870,1.0,0.0
1.0,1880,1.0,0.0
1.0,1890,1.0,0.0
1.0,1900,1.0,0.0
1.0,1910,1.0,0.0
1.0,1920,1.0,0.0
