id,source,source_type,P_melt_GPa,F_melt,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,H2O,melt_style,include_in_regression,notes
kinzler1997_morb_primary_fig2,Kinzler_1997_KKHS02_Fig2,pyrolite_depleted,1.5,0.09,48.2,0.94,16.4,0.12,7.96,12.5,11.4,2.27,0.07,0,0,aggregated_fractional,TRUE,From kinzler1997_morb_primary.json; triangular near-fractional aggregate melt
bs94_run55T,Baker_Stolper_1994_GCA,pyrolite_fertile,1,0.06,50.2,0.67,18.1,0.11,6.1,10.5,11.4,2.8,0.1,0,0,diamond_aggregate_trap,TRUE,GCA 58:2811 Table 2 run 55T @1270C 10kbar; oxides from Falloon et al. 1999 JPet Table 1; VERIFY F_melt vs Baker Table 2
bs94_run24,Baker_Stolper_1994_GCA,pyrolite_fertile,1,0.1,50.3,0.47,14.7,0.34,6.7,13.1,12.8,1.5,0.1,0,0,diamond_aggregate_trap,TRUE,GCA run 24 @1330C 10kbar; Falloon 1999 Table 1; VERIFY F_melt vs Baker Table 2
bs94_run26,Baker_Stolper_1994_GCA,pyrolite_fertile,1,0.12,51,0.35,12.1,0.58,7.4,15.7,11.5,1,0.1,0,0,diamond_aggregate_trap,TRUE,GCA run 26 @1390C 10kbar; equilibrium melt per Falloon 1999; F~0.12 near SiO2 min per Baker; VERIFY F_melt
w98_run50_01,Walter_1998_JPetrol_KR4003,pyrolite_fertile,5,0.1,44.78,1.26,7.15,0.31,11.88,22.28,9.54,0.86,0.6,0,0,batch,TRUE,J Petrol 39:29 Table 2 run 50.01 @5GPa 1680C; Table 3 melt; F from mass balance Melt%=10
w98_run70_02,Walter_1998_JPetrol_KR4003,pyrolite_fertile,7,0.22,46.11,0.66,5.43,0.37,11.61,25.29,8.49,0.63,0.3,0,0,batch,TRUE,J Petrol 39:29 Table 2 run 70.02 @7GPa ~1810C; Table 3 melt; F=Melt%=22; fills high-P corner for Fig.3
k97_exp_07_20,Kinzler_1997_JGR,pyrolite_depleted,1.15,0.07,50.2,0.94,17.8,0.11,6.8,10.1,10.8,3.01,0.1,0,0,batch,TRUE,JGR 102:853 spinel lherzolite exp glass @2.0 GPa low-F; VERIFY run id + Table vs PDF; not kinzler1997_morb_primary_fig2
k97_exp_11_18,Kinzler_1997_JGR,pyrolite_depleted,1.8,0.11,46.9,0.91,15.4,0.12,8.65,14.4,11.7,1.81,0.06,0,0,batch,TRUE,JGR 102:853 exp glass @1.8 GPa F~11%; VERIFY run id + Table vs PDF; P/F distinct from Fig.2 anchor
k97_exp_11_19,Kinzler_1997_JGR,pyrolite_depleted,2.2,0.13,46.0 ,0.87,14.6,0.13,9.13,16,11.7,1.52,0.05,0,0,batch,TRUE,JGR 102:853 exp glass @1.8 GPa F~11%; VERIFY run id + Table vs PDF; P/F distinct from Fig.2 anchor
k97_exp_11_20,Kinzler_1997_JGR,pyrolite_depleted,0.8,0.04,53.6 ,0.94,19.6,0.1,4.8,6.5,9.77,4.54,0.15,0,0,batch,TRUE,JGR 102:853 exp glass @1.8 GPa F~11%; VERIFY run id + Table vs PDF; P/F distinct from Fig.2 anchor
