rock_type,abbrev,岩石属性,density,density_unit,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method
Granite,,,2.668,g/cm3,,6.440,,,,0.600,GPa,25,,,75.500,"Fountain and Salisbury, 1996",compiled_518_strict
Bt-plag Gneiss,,,2.735,g/cm3,,6.460,,3.660,,0.600,GPa,25,intermediate,amphibolite,62.200,"Fountain and Salisbury, 1996",compiled_518_strict
Bt-plag-sill Gneiss,,,2.699,g/cm3,,6.350,,,,0.600,GPa,25,felsic,amphibolite,74.600,"Fountain and Salisbury, 1996",compiled_518_strict
Metabasalt,,,3.032,g/cm3,,6.880,,3.950,,0.600,GPa,25,mafic,amphibolite,48.400,"Fountain and Salisbury, 1996",compiled_518_strict
Metabasalt,,,3.023,g/cm3,,7.030,,,,0.600,GPa,25,mafic,amphibolite,49.100,"Fountain and Salisbury, 1996",compiled_518_strict
Granite,,,2.649,g/cm3,,6.660,,,,0.600,GPa,25,,,72.400,"Fountain and Salisbury, 1996",compiled_518_strict
Metatuff,,,2.890,g/cm3,,6.940,,,,0.600,GPa,25,intermediate,amphibolite,52.000,"Fountain and Salisbury, 1996",compiled_518_strict
Metagraywacke,,,2.676,g/cm3,,6.260,,3.820,,0.600,GPa,25,,,73.700,"Fountain and Salisbury, 1996",compiled_518_strict
Metagraywacke,,,2.725,g/cm3,,6.330,,,,0.600,GPa,25,,,62.300,"Fountain and Salisbury, 1996",compiled_518_strict
Tonalite Orthognesis,,,2.698,g/cm3,,6.400,,,,0.600,GPa,25,felsic,amphibolite,74.600,"Fountain and Salisbury, 1996",compiled_518_strict
Metaconglomerate,,,2.823,g/cm3,,6.820,,,,0.600,GPa,25,,,55.000,"Fountain and Salisbury, 1996",compiled_518_strict
Metabasalt,,,3.030,g/cm3,,7.090,,,,0.600,GPa,25,mafic,amphibolite,47.800,"Fountain and Salisbury, 1996",compiled_518_strict
Metagabbro,,,3.027,g/cm3,,7.160,,,,0.600,GPa,25,mafic,amphibolite,47.500,"Fountain and Salisbury, 1996",compiled_518_strict
Metagabbro,,,3.026,g/cm3,,7.130,,,,0.600,GPa,25,mafic,amphibolite,48.500,"Fountain and Salisbury, 1996",compiled_518_strict
Metabasalt,,,3.020,g/cm3,,7.230,,,,0.600,GPa,25,mafic,amphibolite,49.800,"Fountain and Salisbury, 1996",compiled_518_strict
Metagabbro,,,2.972,g/cm3,,7.290,,,,0.600,GPa,25,mafic,amphibolite,49.600,"Fountain and Salisbury, 1996",compiled_518_strict
Leucogranite,,,2.664,g/cm3,,6.600,,3.790,,0.600,GPa,25,,,69.900,"Fountain and Salisbury, 1996",compiled_518_strict
Hornblende Gneiss,,,2.815,g/cm3,,6.700,,,,0.600,GPa,25,intermediate,amphibolite,58.900,"Fountain and Salisbury, 1996",compiled_518_strict
Granodiorite,,,2.703,g/cm3,,6.540,,3.710,,0.600,GPa,25,,,74.200,"Fountain and Salisbury, 1996",compiled_518_strict
Metagabbro,,,3.018,g/cm3,,7.220,,4.140,,0.600,GPa,25,mafic,amphibolite,50.500,"Fountain and Salisbury, 1996",compiled_518_strict
Metabasalt,,,3.017,g/cm3,,7.150,,4.150,,0.600,GPa,25,mafic,amphibolite,49.400,"Fountain and Salisbury, 1996",compiled_518_strict
Metabasalt,,,2.856,g/cm3,,6.910,,,,0.600,GPa,25,mafic,amphibolite,46.500,"Fountain and Salisbury, 1996",compiled_518_strict
Meta-andesite,,,2.876,g/cm3,,6.710,,3.870,,0.600,GPa,25,intermediate,amphibolite,53.900,"Fountain and Salisbury, 1996",compiled_518_strict
Tonalite Gneiss,,,2.651,g/cm3,,6.500,,,,0.600,GPa,25,felsic,amphibolite,70.200,"Fountain and Salisbury, 1996",compiled_518_strict
Bt-plag Gneiss,,,2.845,g/cm3,,6.840,,,,0.600,GPa,25,intermediate,amphibolite,57.200,"Fountain and Salisbury, 1996",compiled_518_strict
Quartz Diorite,,,2.662,g/cm3,,6.480,,3.790,,0.600,GPa,25,,,71.500,"Fountain and Salisbury, 1996",compiled_518_strict
Hb-bt-plag Gneiss,,,2.824,g/cm3,,6.700,,,,0.600,GPa,25,intermediate,amphibolite,52.400,"Fountain and Salisbury, 1996",compiled_518_strict
Hb-plag Gneiss,,,2.861,g/cm3,,6.880,,3.780,,0.600,GPa,25,intermediate,amphibolite,53.700,"Fountain and Salisbury, 1996",compiled_518_strict
Granodiorite,,,2.681,g/cm3,,6.580,,,,0.600,GPa,25,,,69.600,"Fountain and Salisbury, 1996",compiled_518_strict
Metadacite,,,2.780,g/cm3,,6.510,,,,0.600,GPa,25,felsic,amphibolite,65.100,"Fountain and Salisbury, 1996",compiled_518_strict
Amphibolitic Schist,,,2.891,g/cm3,,7.050,,,,0.600,GPa,25,,,53.300,"Fountain and Salisbury, 1996",compiled_518_strict
Tonalite Gneiss,,,2.695,g/cm3,,6.370,,3.840,,0.600,GPa,25,felsic,amphibolite,74.400,"Fountain and Salisbury, 1996",compiled_518_strict
Tonalite Gneiss,,,2.665,g/cm3,,6.540,,,,0.600,GPa,25,felsic,amphibolite,66.500,"Fountain and Salisbury, 1996",compiled_518_strict
Enderbitic Gneiss,,,2.715,g/cm3,,6.510,,,,0.600,GPa,25,felsic,granulite,67.200,"Fountain and Salisbury, 1996",compiled_518_strict
Enderbitic Gneiss,,,2.694,g/cm3,,6.670,,,,0.600,GPa,25,felsic,granulite,67.400,"Fountain and Salisbury, 1996",compiled_518_strict
Diabase,,,3.095,g/cm3,,7.100,,4.100,,0.600,GPa,25,,,49.700,"Fountain and Salisbury, 1996",compiled_518_strict
Norite Gneiss,,,3.286,g/cm3,,7.420,,,,0.600,GPa,25,,,43.100,"Fountain and Salisbury, 1996",compiled_518_strict
Enderbitic Gneiss,,,2.681,g/cm3,,6.670,,,,0.600,GPa,25,felsic,granulite,70.900,"Fountain and Salisbury, 1996",compiled_518_strict
Enderbitic Gneiss,,,2.648,g/cm3,,6.580,,3.770,,0.600,GPa,25,felsic,granulite,68.400,"Fountain and Salisbury, 1996",compiled_518_strict
Gt-pyx-mag Gneiss,,,3.733,g/cm3,,7.770,,,,0.600,GPa,25,,,42.300,"Fountain and Salisbury, 1996",compiled_518_strict
Hornblende Gneiss,,,2.961,g/cm3,,7.200,,4.060,,0.600,GPa,25,mafic,granulite,50.900,"Fountain and Salisbury, 1996",compiled_518_strict
Trondhjemite Gneiss,,,2.627,g/cm3,,6.550,,3.840,,0.600,GPa,25,felsic,granulite,74.200,"Fountain and Salisbury, 1996",compiled_518_strict
Tonalitic Gneiss,,,2.676,g/cm3,,6.570,,,,0.600,GPa,25,felsic,granulite,72.800,"Fountain and Salisbury, 1996",compiled_518_strict
Mafic Gneiss,,,2.819,g/cm3,,6.620,,,,0.600,GPa,25,intermediate,granulite,53.300,"Fountain and Salisbury, 1996",compiled_518_strict
Tonalitic Gneiss,,,2.619,g/cm3,,6.550,,3.780,,0.600,GPa,25,felsic,granulite,68.300,"Fountain and Salisbury, 1996",compiled_518_strict
Hornblende Gneiss,,,3.022,g/cm3,,7.200,,,,0.600,GPa,25,mafic,granulite,47.100,"Fountain and Salisbury, 1996",compiled_518_strict
Trondhjemite Gneiss,,,2.691,g/cm3,,6.430,,,,0.600,GPa,25,felsic,granulite,66.900,"Fountain and Salisbury, 1996",compiled_518_strict
Norite Gneiss,,,3.074,g/cm3,,7.290,,4.010,,0.600,GPa,25,mafic,granulite,48.900,"Fountain and Salisbury, 1996",compiled_518_strict
Gt-bt Gneiss,,,2.859,g/cm3,,6.860,,3.930,,0.600,GPa,25,felsic,granulite,65.300,"Fountain and Salisbury, 1996",compiled_518_strict
Quartzite,,,2.619,g/cm3,,6.480,,3.790,,0.600,GPa,25,felsic,granulite,75.500,"Fountain and Salisbury, 1996",compiled_518_strict
Gt Trond Gneiss,,,2.731,g/cm3,,6.890,,3.890,,0.600,GPa,25,felsic,granulite,63.900,"Fountain and Salisbury, 1996",compiled_518_strict
Gt Trond Gneiss,,,2.637,g/cm3,,6.440,,,,0.600,GPa,25,felsic,granulite,71.600,"Fountain and Salisbury, 1996",compiled_518_strict
Anorthosite,,,2.705,g/cm3,,6.640,,3.890,,0.600,GPa,25,,,67.400,"Fountain and Salisbury, 1996",compiled_518_strict
Enderbitic Gneiss,,,2.652,g/cm3,,6.510,,,,0.600,GPa,25,felsic,granulite,69.300,"Fountain and Salisbury, 1996",compiled_518_strict
Gt-bt Gneiss,,,2.711,g/cm3,,6.830,,,,0.600,GPa,25,felsic,granulite,72.300,"Fountain and Salisbury, 1996",compiled_518_strict
Enderbitic Gneiss,,,2.663,g/cm3,,6.490,,,,0.600,GPa,25,felsic,granulite,73.300,"Fountain and Salisbury, 1996",compiled_518_strict
Norite Gneiss,,,3.016,g/cm3,,7.200,,,,0.600,GPa,25,mafic,granulite,46.900,"Fountain and Salisbury, 1996",compiled_518_strict
Enderbitic Gneiss,,,2.659,g/cm3,,6.530,,,,0.600,GPa,25,felsic,granulite,70.000,"Fountain and Salisbury, 1996",compiled_518_strict
Norite Gneiss,,,3.066,g/cm3,,7.240,,4.100,,0.600,GPa,25,mafic,granulite,47.300,"Fountain and Salisbury, 1996",compiled_518_strict
Enderbitic Gneiss,,,2.722,g/cm3,,6.480,,3.770,,0.600,GPa,25,felsic,granulite,65.000,"Fountain and Salisbury, 1996",compiled_518_strict
Metarhyolite,,,2.738,g/cm3,,6.110,,3.720,,0.100,GPa,25,felsic,greenschist,72.510,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict
Metarhyolite,,,2.738,g/cm3,,6.160,,3.740,,0.200,GPa,25,felsic,greenschist,72.510,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict
Metarhyolite,,,2.738,g/cm3,,6.220,,3.760,,0.400,GPa,25,felsic,greenschist,72.510,Fountain et al 1990            Salisbury&Fountain 1994,compiled_518_strict
