rock_type,abbrev,岩石属性,density,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method,岩石分类,变质程度,地质意义
Andesite,AND,安山岩,2627,,5.533,,3.034,,200,MPa,25,intermediate,,,rocks.xlsx,legacy_import,火成岩,-,岛弧火山岩典型代表，与俯冲带岩浆活动相关
Basalt,BAS,玄武岩,2882,,5.914,,3.217,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,火成岩,-,大洋地壳主要组成，与地幔部分熔融有关
Diabase,DIA,辉绿岩,2936,,6.712,,3.729,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Granite-granodiorite,GRA,花岗岩-花岗闪长岩,2652,,6.246,,3.669,,200,MPa,25,,,,rocks.xlsx,legacy_import,,,
Diorite,DIO,闪长岩,2810,,6.497,,3.693,,200,MPa,25,intermediate,,,rocks.xlsx,legacy_import,火成岩,-,中性深成岩，与安山质岩浆活动有关
Gabbro-norite-troctolite,GAB,辉长石-黑铁矿-闪长石,2968,,7.138,,3.862,,200,MPa,25,,,,rocks.xlsx,legacy_import,,,
Metagraywacke,MGW,变质杂砂岩,2682,,5.829,,3.406,,200,MPa,25,psammitic,,,rocks.xlsx,legacy_import,变质岩,绿片岩相-角闪岩相,杂砂岩变质产物，反映浊积岩变质
Slate,SLT,板岩,2807,,6.156,,3.301,,200,MPa,25,pelitic,,,rocks.xlsx,legacy_import,变质岩,极低级变质（沸石相）,泥质岩低级变质，具板劈理
"Phyllite,Phyllonite",PHY,千枚岩,2738,,6.243,,3.543,,200,MPa,25,,,,rocks.xlsx,legacy_import,,,
Zeolite facies basalt,BZE,沸石相玄武岩,2915,,6.319,,3.413,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,变质岩,沸石相（极低级）,成岩-极低级变质，沸石组合
"Prehnite-pumpellyite
facies basalt",BPP,葡萄石-绿纤石相玄武岩,2835,,6.353,,3.545,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,变质岩,沸石相-葡萄石-绿纤石相,极低级变质，代表成岩-变质过渡
Greenschist facies basalt,BGR,绿片岩相玄武岩,2978,,6.82,,3.883,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,变质岩,绿片岩相,基性岩低级变质，常见于蛇绿岩和绿岩带
Granite gneiss,GGN,花岗质片麻岩,2643,,6.01,,3.501,,200,MPa,25,felsic,,,rocks.xlsx,legacy_import,变质岩,角闪岩相-麻粒岩相,原岩为花岗岩，记录变质变形
Biotite(tonalite) gneiss,BGN,黑云片麻岩,2742,,6.18,,3.552,,200,MPa,25,,,,rocks.xlsx,legacy_import,,,
Mica quartz schist,QSC,云母石英片岩,2824,,6.267,,3.526,,200,MPa,25,psammitic,,,rocks.xlsx,legacy_import,变质岩,绿片岩相-角闪岩相,泥质砂岩低级-中级变质，云母定向排列
Amphibolite,AMP,斜长角闪岩,2996,,6.866,,3.909,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Felsic granulite,FGR,长英质麻粒岩,2758,,6.411,,3.608,,200,MPa,25,,,,rocks.xlsx,legacy_import,,,
Paragranulite,PGR,副麻粒岩,2761,,6.339,,3.59,,200,MPa,25,pelitic/psammitic,,,rocks.xlsx,legacy_import,变质岩,麻粒岩相,沉积原岩的麻粒岩
Anorthositic granulite,AGR,斜长麻粒岩,2763,,6.931,,3.736,,200,MPa,25,,,,rocks.xlsx,legacy_import,,,
Mafic granulite,MGR,镁铁质麻粒岩,2971,,6.839,,3.767,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,变质岩,麻粒岩相,下地壳基性岩石代表，常含石榴石或辉石
Mafic garnet granulite,GGR,镁铁质石榴石 麻粒岩,3111,,7.11,,3.974,,200,MPa,25,,,,rocks.xlsx,legacy_import,,,
Mafic eclogite,ECL,镁铁质榴辉岩,3485,,8.001,,4.481,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,变质岩,榴辉岩相,基性原岩榴辉岩，代表俯冲洋壳
Serpentinite,SER,蛇纹岩,2566,,5.308,,2.588,,200,MPa,25,ultramafic,,,rocks.xlsx,legacy_import,变质岩（蚀变）,蛇纹石化,超镁铁质岩水化蚀变，代表洋壳或地幔楔
Quartzite,QTZ,石英岩,2652,,5.963,,4.035,,200,MPa,25,psammitic,,,rocks.xlsx,legacy_import,变质岩,任何变质相,石英砂岩变质，坚硬，抗风化
Calcite marble,MBL,方解石大理石,2721,,6.916,,3.653,,200,MPa,25,,,,rocks.xlsx,legacy_import,,,
Anorthosite,ANO,斜长岩,2730,,6.978,,3.653,,200,MPa,25,mafic,,,rocks.xlsx,legacy_import,火成岩,-,大型层状侵入体主要岩石，常伴生钛、铁、钒矿床
