rock_type,abbrev,岩石属性,density,det_den,vp,dvp,vs,dvs,pressure,temperature,source,method
Andesite,AND,安山岩,2627,71,5.533,0.26,3.034,0.208,200,25,Lab/Christenson,ultrasonic transmission
Basalt,BAS,玄武岩,2882,139,5.914,0.546,3.217,0.302,200,25,Lab/Christenson,ultrasonic transmission
Diabase,DIA,辉绿岩,2936,91,6.712,0.266,3.729,0.17,200,25,Lab/Christenson,ultrasonic transmission
Granite-granodiorite,GRA,花岗岩-花岗闪长岩,2652,23,6.246,0.128,3.669,0.116,200,25,Lab/Christenson,ultrasonic transmission
Diorite,DIO,闪长岩,2810,85,6.497,0.161,3.693,0.12,200,25,Lab/Christenson,ultrasonic transmission
Gabbro-norite-troctolite,GAB,辉长石-黑铁矿-闪长石,2968,69,7.138,0.252,3.862,0.129,200,25,Lab/Christenson,ultrasonic transmission
Metagraywacke,MGW,变质灰砂岩,2682,52,5.829,0.348,3.406,0.291,200,25,Lab/Christenson,ultrasonic transmission
Slate,SLT,板岩,2807,21,6.156,0.103,3.301,0.106,200,25,Lab/Christenson,ultrasonic transmission
"Phyllite,Phyllonite",PHY,千枚岩,2738,46,6.243,0.116,3.543,0.14,200,25,Lab/Christenson,ultrasonic transmission
Zeolite facies basalt,BZE,沸石相玄武岩,2915,83,6.319,0.27,3.413,0.152,200,25,Lab/Christenson,ultrasonic transmission
"Prehnite-pumpellyite
facies basalt",BPP,葡萄石-绿纤石相玄武岩,2835,108,6.353,0.414,3.545,0.237,200,25,Lab/Christenson,ultrasonic transmission
Greenschist facies basalt,BGR,绿片岩相玄武岩,2978,86,6.82,0.227,3.883,0.131,200,25,Lab/Christenson,ultrasonic transmission
Granite gneiss,GGN,花岗岩片麻岩,2643,46,6.01,0.184,3.501,0.167,200,25,Lab/Christenson,ultrasonic transmission
Biotite(tonalite) gneiss,BGN,黑云片麻岩,2742,68,6.18,0.189,3.552,0.166,200,25,Lab/Christenson,ultrasonic transmission
Mica quartz schist,QSC,云母石英片岩,2824,122,6.267,0.307,3.526,0.232,200,25,Lab/Christenson,ultrasonic transmission
Amphibolite,AMP,闪岩,2996,85,6.866,0.224,3.909,0.151,200,25,Lab/Christenson,ultrasonic transmission
Felsic granulite,FGR,长英质麻粒岩,2758,79,6.411,0.132,3.608,0.134,200,25,Lab/Christenson,ultrasonic transmission
Paragranulite,PGR,副麻粒岩,2761,56,6.339,0.173,3.59,0.129,200,25,Lab/Christenson,ultrasonic transmission
Anorthositic granulite,AGR,斜长麻粒岩,2763,63,6.931,0.134,3.736,0.105,200,25,Lab/Christenson,ultrasonic transmission
Mafic granulite,MGR,镁铁质麻粒岩,2971,82,6.839,0.182,3.767,0.121,200,25,Lab/Christenson,ultrasonic transmission
Mafic garnet granulite,GGR,镁铁质石榴石 麻粒岩,3111,104,7.11,0.184,3.974,0.122,200,25,Lab/Christenson,ultrasonic transmission
Mafic eclogite,ECL,镁铁质榴辉石,3485,67,8.001,0.156,4.481,0.145,200,25,Lab/Christenson,ultrasonic transmission
Serpentinite,SER,蛇纹石,2566,50,5.308,0.335,2.588,0.177,200,25,Lab/Christenson,ultrasonic transmission
Quartzite,QTZ,石英岩,2652,8,5.963,0.074,4.035,0.048,200,25,Lab/Christenson,ultrasonic transmission
Calcite marble,MBL,方解石大理石,2721,12,6.916,0.085,3.653,0.188,200,25,Lab/Christenson,ultrasonic transmission
Anorthosite,ANO,斜长岩,2730,38,6.978,0.218,3.653,0.169,200,25,Lab/Christenson,ultrasonic transmission
Hornblendite,HBL,角闪石,3248,1,7.161,0.02,4.094,0.013,200,25,Lab/Christenson,ultrasonic transmission
Pyroxenite,PYX,辉岩,3267,30,7.737,0.114,4.444,0.179,200,25,Lab/Christenson,ultrasonic transmission
Dunite,DUN,纯橄榄岩,3310,14,8.299,0.091,4.731,0.118,200,25,Lab/Christenson,ultrasonic transmission
Andesite,AND,安山岩,2627,71,5.712,0.227,3.097,0.207,400,25,Lab/Christenson,ultrasonic transmission
Basalt,BAS,玄武岩,2882,139,5.992,0.544,3.246,0.293,400,25,Lab/Christenson,ultrasonic transmission
Diabase,DIA,辉绿岩,2936,91,6.756,0.254,3.748,0.156,400,25,Lab/Christenson,ultrasonic transmission
Granite-granodiorite,GRA,花岗岩-花岗闪长岩,2652,23,6.296,0.121,3.692,0.104,400,25,Lab/Christenson,ultrasonic transmission
Diorite,DIO,闪长岩,2810,85,6.566,0.144,3.717,0.11,400,25,Lab/Christenson,ultrasonic transmission
Gabbro-norite-troctolite,GAB,辉长石-黑铁矿-闪长石,2968,69,7.2,0.255,3.888,0.125,400,25,Lab/Christenson,ultrasonic transmission
Metagraywacke,MGW,变质灰砂岩,2682,52,5.95,0.309,3.448,0.273,400,25,Lab/Christenson,ultrasonic transmission
Slate,SLT,板岩,2807,21,6.24,0.099,3.351,0.096,400,25,Lab/Christenson,ultrasonic transmission
"Phyllite,Phyllonite",PHY,千枚岩,2738,46,6.305,0.093,3.569,0.139,400,25,Lab/Christenson,ultrasonic transmission
Zeolite facies basalt,BZE,沸石相玄武岩,2915,83,6.4,0.262,3.444,0.152,400,25,Lab/Christenson,ultrasonic transmission
"Prehnite-pumpellyite
facies basalt",BPP,葡萄石-绿纤石相玄武岩,2835,108,6.436,0.37,3.575,0.219,400,25,Lab/Christenson,ultrasonic transmission
Greenschist facies basalt,BGR,绿片岩相玄武岩,2978,86,6.884,0.22,3.911,0.134,400,25,Lab/Christenson,ultrasonic transmission
Granite gneiss,GGN,花岗岩片麻岩,2643,46,6.145,0.135,3.553,0.143,400,25,Lab/Christenson,ultrasonic transmission
Biotite(tonalite) gneiss,BGN,黑云片麻岩,2742,68,6.256,0.171,3.585,0.15,400,25,Lab/Christenson,ultrasonic transmission
Mica quartz schist,QSC,云母石英片岩,2824,122,6.37,0.31,3.579,0.227,400,25,Lab/Christenson,ultrasonic transmission
Amphibolite,AMP,闪岩,2996,85,6.939,0.199,3.941,0.136,400,25,Lab/Christenson,ultrasonic transmission
Felsic granulite,FGR,长英质麻粒岩,2758,79,6.474,0.127,3.631,0.125,400,25,Lab/Christenson,ultrasonic transmission
Paragranulite,PGR,副麻粒岩,2761,56,6.402,0.143,3.617,0.124,400,25,Lab/Christenson,ultrasonic transmission
Anorthositic granulite,AGR,斜长麻粒岩,2763,63,7.003,0.138,3.766,0.105,400,25,Lab/Christenson,ultrasonic transmission
Mafic granulite,MGR,镁铁质麻粒岩,2971,82,6.902,0.181,3.799,0.115,400,25,Lab/Christenson,ultrasonic transmission
Mafic garnet granulite,GGR,镁铁质石榴石 麻粒岩,3111,104,7.197,0.164,4.007,0.108,400,25,Lab/Christenson,ultrasonic transmission
Mafic eclogite,ECL,镁铁质榴辉石,3485,67,8.078,0.16,4.524,0.141,400,25,Lab/Christenson,ultrasonic transmission
Serpentinite,SER,蛇纹石,2566,50,5.421,0.308,2.61,0.173,400,25,Lab/Christenson,ultrasonic transmission
Quartzite,QTZ,石英岩,2652,8,6.012,0.076,4.048,0.042,400,25,Lab/Christenson,ultrasonic transmission
Calcite marble,MBL,方解石大理石,2721,12,6.944,0.08,3.707,0.181,400,25,Lab/Christenson,ultrasonic transmission
Anorthosite,ANO,斜长岩,2730,38,7.035,0.205,3.678,0.17,400,25,Lab/Christenson,ultrasonic transmission
Hornblendite,HBL,角闪石,3248,1,7.222,0.01,4.129,0.022,400,25,Lab/Christenson,ultrasonic transmission
Pyroxenite,PYX,辉岩,3267,30,7.812,0.099,4.473,0.174,400,25,Lab/Christenson,ultrasonic transmission
Dunite,DUN,纯橄榄岩,3310,14,8.352,0.083,4.759,0.116,400,25,Lab/Christenson,ultrasonic transmission
Andesite,AND,安山岩,2627,71,5.814,0.224,3.13,0.204,600,25,Lab/Christenson,ultrasonic transmission
Basalt,BAS,玄武岩,2882,139,6.044,0.543,3.264,0.291,600,25,Lab/Christenson,ultrasonic transmission
Diabase,DIA,辉绿岩,2936,91,6.782,0.249,3.757,0.151,600,25,Lab/Christenson,ultrasonic transmission
Granite-granodiorite,GRA,花岗岩-花岗闪长岩,2652,23,6.327,0.121,3.706,0.1,600,25,Lab/Christenson,ultrasonic transmission
Diorite,DIO,闪长岩,2810,85,6.611,0.134,3.733,0.106,600,25,Lab/Christenson,ultrasonic transmission
Gabbro-norite-troctolite,GAB,辉长石-黑铁矿-闪长石,2968,69,7.241,0.258,3.905,0.124,600,25,Lab/Christenson,ultrasonic transmission
Metagraywacke,MGW,变质灰砂岩,2682,52,6.028,0.283,3.474,0.265,600,25,Lab/Christenson,ultrasonic transmission
Slate,SLT,板岩,2807,21,6.297,0.094,3.384,0.09,600,25,Lab/Christenson,ultrasonic transmission
