model_x_km,receiver_x_km,true_offset_km,obs_dt_s,pred_dt_eff_s,x_conv_km,h_km,vp_vs_point_est
244.461000,330.766000,-86.305000,0.690936,nan,nan,nan,nan
245.240000,330.766000,-85.526000,0.686623,nan,nan,nan,nan
246.269000,330.766000,-84.497000,0.680925,nan,nan,nan,nan
247.520000,330.766000,-83.246000,0.673998,0.645749,330.072130,1.084166,2.520507
248.609000,330.766000,-82.157000,0.667968,0.668746,330.021383,1.107536,2.530338
248.921000,330.766000,-81.845000,0.666240,0.675546,330.006641,1.114506,2.517708
249.397000,330.766000,-81.369000,0.669247,0.681693,329.993348,1.120786,2.510175
250.785000,330.766000,-79.981000,0.665165,0.686171,329.983667,1.125335,2.506163
250.939000,330.766000,-79.827000,0.664946,0.687438,329.980927,1.126617,2.505097
252.363000,330.766000,-78.403000,0.668602,0.717312,329.915484,1.155678,2.479972
252.681000,330.766000,-78.085000,0.670347,0.729495,329.890867,1.171538,nan
253.945000,330.766000,-76.821000,0.679641,0.734769,329.849339,1.151944,2.484378
255.660000,330.766000,-75.106000,0.699889,0.741632,329.810261,1.137017,2.504300
255.971000,330.766000,-74.795000,0.703141,0.742747,329.804129,1.134646,2.507944
256.584000,330.766000,-74.182000,0.713090,0.742306,329.806543,1.135580,2.506653
257.369000,330.766000,-73.397000,0.725832,0.738398,329.828423,1.144015,2.493888
257.681000,330.766000,-73.085000,0.722758,0.736642,329.838483,1.147853,2.489119
258.640000,330.766000,-72.126000,0.723353,0.731891,329.866202,1.158159,2.480411
259.592000,330.766000,-71.174000,0.724243,0.729643,329.886093,1.168172,nan
260.863000,330.766000,-69.903000,0.722805,0.680513,329.995898,1.119583,2.511296
262.460000,330.766000,-68.306000,0.724215,0.603102,330.146202,1.031302,2.479953
263.906000,330.766000,-66.860000,0.721366,0.589579,330.214593,1.041453,2.483686
265.222000,330.766000,-65.544000,0.720983,0.592051,330.201147,1.039323,2.478271
267.024000,330.766000,-63.742000,0.724128,0.683175,329.990145,1.122294,2.508805
268.473000,330.766000,-62.293000,0.719225,0.730688,329.873286,1.160709,2.478522
269.596000,330.766000,-61.170000,0.720198,0.734808,329.849115,1.151860,2.484472
270.558000,330.766000,-60.208000,0.727302,0.731406,329.869055,1.159191,2.479628
271.519000,330.766000,-59.247000,0.739540,0.733739,329.855357,1.154183,2.483038
272.971000,330.766000,-57.795000,0.760254,0.748007,329.776245,1.123940,2.522265
273.132000,330.766000,-57.634000,0.762865,0.750349,329.764427,1.119494,2.527342
273.293000,330.766000,-57.473000,0.761644,0.752793,329.752497,1.115098,2.531406
274.586000,330.766000,-56.180000,0.783678,0.762179,329.710247,1.100586,nan
275.073000,330.766000,-55.693000,0.793108,0.758825,329.724731,1.105347,2.536821
275.573000,330.766000,-55.193000,0.802790,0.755222,329.741035,1.110983,2.535317
277.048000,330.766000,-53.718000,0.803433,0.742734,329.804198,1.134673,2.507907
278.001000,330.766000,-52.765000,0.808332,0.716821,329.916579,1.155226,2.480294
279.286000,330.766000,-51.480000,0.779462,0.666690,330.025853,1.105428,2.531921
280.738000,330.766000,-50.028000,0.758801,0.665661,330.028095,1.104373,2.532268
