dx_km,xconv_pss_psp_km,model_distance_pss_km,dt_pss_psp_s,xconv_pps_ppp_km,model_distance_ppp_km,dt_pps_ppp_s,dt_diff_s
0.000014,84.244461,43.973000,1.012548,84.244447,51.984000,1.003294,0.009254
0.000023,84.274171,45.857000,1.036223,84.274195,50.098000,1.005067,0.031156
0.000037,84.172107,21.008000,0.957526,84.172070,52.444000,0.978025,-0.020499
0.000101,84.278064,29.020000,1.039368,84.278166,51.833000,1.006435,0.032933
0.000105,84.182476,22.717000,0.965162,84.182581,49.633000,0.981647,-0.016485
0.000121,84.278045,15.600000,1.039352,84.278166,51.833000,1.006435,0.032917
0.000126,84.172195,21.320000,0.957591,84.172070,52.444000,0.978025,-0.020434
0.000133,84.182448,22.100000,0.965141,84.182581,49.633000,0.981647,-0.016506
0.000140,84.182721,21.947000,0.965343,84.182581,49.633000,0.981647,-0.016304
0.000145,84.210712,25.231000,0.986390,84.210566,49.794000,0.991673,-0.005283
0.000249,84.274444,46.172000,1.036443,84.274195,50.098000,1.005067,0.031376
0.000286,84.348722,13.347000,1.031733,84.349008,51.518000,0.996393,0.035340
