model_x_km,receiver_x_km,true_offset_km,obs_dt_s,pred_dt_s,x_conv_km,h_km,vp_vs_ratio
7.790000,84.860000,-77.070000,1.134054,nan,nan,nan,nan
7.951000,84.860000,-76.909000,1.130281,nan,nan,nan,nan
8.116000,84.860000,-76.744000,1.126414,nan,nan,nan,nan
8.277000,84.860000,-76.583000,1.122641,nan,nan,nan,nan
8.441000,84.860000,-76.419000,1.118797,nan,nan,nan,nan
8.603000,84.860000,-76.257000,1.115000,nan,nan,nan,nan
8.778000,84.860000,-76.082000,1.111056,nan,nan,nan,nan
8.939000,84.860000,-75.921000,1.107668,nan,nan,nan,nan
9.103000,84.860000,-75.757000,1.103490,nan,nan,nan,nan
9.268000,84.860000,-75.592000,1.099847,nan,nan,nan,nan
9.429000,84.860000,-75.431000,1.095623,nan,nan,nan,nan
9.590000,84.860000,-75.270000,1.092926,nan,nan,nan,nan
9.752000,84.860000,-75.108000,1.091782,nan,nan,nan,nan
9.913000,84.860000,-74.947000,1.090993,nan,nan,nan,nan
10.074000,84.860000,-74.786000,1.090080,nan,nan,nan,nan
10.236000,84.860000,-74.624000,1.089149,nan,nan,nan,nan
10.387000,84.860000,-74.473000,1.089966,nan,nan,nan,nan
10.548000,84.860000,-74.312000,1.091716,nan,nan,nan,nan
10.715000,84.860000,-74.145000,1.094033,nan,nan,nan,nan
10.880000,84.860000,-73.980000,1.097070,nan,nan,nan,nan
11.044000,84.860000,-73.816000,1.100436,nan,nan,nan,nan
11.208000,84.860000,-73.652000,1.106388,0.990472,83.903120,1.533548,2.917828
11.380000,84.860000,-73.480000,1.111201,0.983329,83.899929,1.515204,2.918678
11.545000,84.860000,-73.315000,1.114093,1.029715,83.839926,1.580810,2.915638
11.706000,84.860000,-73.154000,1.117755,1.026909,83.830929,1.568152,2.916225
11.881000,84.860000,-72.979000,1.121562,1.026500,83.829734,1.566378,2.916307
12.042000,84.860000,-72.818000,1.126814,1.028088,83.834529,1.573363,2.915983
12.207000,84.860000,-72.653000,1.131120,0.977535,83.897809,1.500571,2.919357
12.379000,84.860000,-72.481000,1.135276,0.989899,83.902837,1.532063,2.917897
12.543000,84.860000,-72.317000,1.137506,1.000094,83.908839,1.559033,2.916647
12.705000,84.860000,-72.155000,1.140651,1.006418,83.914698,1.577004,2.915814
12.866000,84.860000,-71.994000,1.143420,1.012753,83.921013,1.595163,2.914973
13.027000,84.860000,-71.833000,1.143707,1.050685,83.899915,1.666215,2.912296
